record_id,ai_system_id,decision_type,affected_group,outcome,transparency
77,103,Language learning path,Non-native speakers,Personalized,High
78,103,Reading level assessment,Elementary students,Accurate,High
79,103,Math skill progression,All grades,Personalized,Medium
80,103,Parent-teacher communication,Struggling students,Fair,High
81,103,Special education placement,Students with IEP,Fair,Medium
82,103,Gifted program selection,High achievers,Fair,Low
83,103,Attendance pattern analysis,All students,Accurate,Medium
84,103,Behavioral intervention,Disciplinary cases,Fair,Medium
85,103,Homework difficulty scaling,All students,Personalized,High
86,103,Test anxiety detection,Anxious students,Accurate,High
87,103,Social-emotional learning,All students,Personalized,Medium
88,103,College major recommendation,High school seniors,Personalized,High
89,103,Financial aid eligibility,Low income families,Fair,Medium
90,103,Summer program matching,At-risk students,Inclusive,High
91,101,Approved,Customers,Ranked,High
92,102,Biased,Employees,Rejected,Medium
93,103,Balanced,Suppliers,Approved,Low
94,101,Reviewed,Patrons,Biased,Medium
95,102,Approved,Visitors,Balanced,High
96,103,Rejected,Residents,Ranked,Low
97,101,Biased,Clients,Biased,Medium
98,102,Balanced,Users,Approved,High
99,101,Loan Application Denied,High-Risk Borrowers,Rejected,Medium
100,102,Job Interview Scheduling,Diverse Candidate Pool,Approved,High
101,103,Credit Score Calculation,Young Adults Only,Ranked,Low
102,101,Personalized Advertising,Sensitive User Info,Biased,Medium
103,102,Medical Diagnosis System,Rare Disease Patients,Reviewed,High
104,103,Traffic Flow Management,Heavy Traffic Zones,Balanced,Medium
105,101,Social Media Censorship,Hate Speech Detectors,Rejected,Low
106,102,Predictive Maintenance,Equipment Manufacturers Only,Approved,High
107,101,Loan Approval,Minority Group,Rejected,Medium
108,102,Job Offer,Low-Skilled Worker,RANKED,High
109,103,Credit Score,Veteran,APPROVED,Low
110,101,Medical Diagnosis,Neurologist REVIEWED,Balanced,Medium
111,102,Mortgage Decision,First-Time Buyer REJECTED,Biased,High
112,103,Customer Support,Senior Citizen APPLIED,Approved,Medium
113,101,Traffic Flow Prediction,Rush Hour DRIVER,Ranked,Low
114,102,Financial Forecast,Market Trend ANOMALY,Rejected,High
115,101,Credit Check,High-Risk Clients,Approved,Medium
116,102,Job Matching,Low-Skilled Workers,Rejected,Low
117,103,Image Recognition,Diverse Faces,Ranked,High
118,101,Chatbot Response,Sensitive Users,Biased,Low
119,102,Predictive Maintenance,Maintenance Staff,Balanced,Medium
120,103,Customer Service,Abusive Customers,Reviewed,High
121,101,Medical Diagnosis,Critical Patients,Approved,Medium
122,102,Security Threats,System Administrators,Ranked,High
123,101,Loan Approval,Homebuyers,Approved,Medium
124,102,Job Matching,Applicants,Ranked,Low
125,103,Product Recommendation,Shoppers,Rejected,High
126,101,Credit Scoring,Borrowers,Biased,Medium
127,102,Resume Screening,Applicants,Reviewed,Low
128,103,Mental Health Diagnosis,Patients,Balanced,High
129,101,Traffic Forecasting,Drivers,Approved,Medium
130,102,Image Classification,Viewers,Rejected,Low
131,101,Gender Bias,Female Applicants,Rejected,Low
132,101,Geographic Bias,Rural Districts,Ranked,Low
133,101,Educational Bias,Non-IIT Colleges,Biased,Low
134,101,Language Barrier,Non-English Medium,Rejected,Medium
135,101,Prioritization Error,Tier 2 Cities,Low Priority,Low
136,102,Unfair Decision,Rural Elderly Patients,Rejected,Low
137,102,Lack of Transparency,All Patients,Ranked,Low
138,102,Disproportionate Outcomes,Lower Income Patients,Approved,Low
139,102,Insufficient Oversight,Doctors and Staff,Reviewed,Medium
140,102,Undisclosed Risk Index,Private Insurance Holders,Rejected,Low
141,103,Systemic Recommendation Bias,Low-income Students,Biased,Low
142,103,Lack of Transparency,Parents and Teachers,No Explanation Given,High
143,101,Bias in Resume Screening,Female Candidates,Rejected,Low
144,101,Lack of Transparency in Decision Making,All Candidates,Reviewed,Low
145,102,Medical Triage Disparity,Rural Elderly Patients,Rejected,Low
146,102,Treatment Approval Bias,Minority Communities,Biased,Low
147,102,Private Insurance Penalty,Patients Without Insurance,Rejected,Low
148,102,Lack of Human Override,All Patients,Biased,Low
149,102,Undisclosed Risk Index,Urban vs Rural Patients,Ranked,Medium
150,102,Disproportionate Treatment Denial,Lower Income Patients,Rejected,Low
151,103,Bias in Recommendations,Minority Communities,Rejected,Low
152,103,Inequitable Track Assignment,Low-Income Students,Biased,Medium
153,103,Unfair Program Placement,First-Generation Learners,Ranked,High
154,103,Lack of Explanation,Parents and Teachers,None,Low
155,103,Unaudited Recommendation Logic,All Users,Reviewed,Low
156,101,Gender Bias,Female Candidates,Rejected,Low
157,101,College Affiliation,IIT Graduates Only,Ranked,Medium
158,101,Rural Districts,Tier-2 Cities,Biased,Low
159,101,Non-English Medium Background, Flagged as Low Priority,Biased,Low
160,101,Resume Screening,Historical Hiring Data Skew,Rejected,High
161,101,Decision Explanation,No Transparency,Ranked,Low
162,102,Biased Treatment,Rural Elderly Patients,Rejected,Low
163,102,Prejudiced Decision,Minority Communities,Rejected,Low
164,102,Discriminatory Outcome,Patients w/o Private Insurance,Rejected,Low
165,102,Unfair Approval,Urban Elderly Patients,Approved,Medium
166,102,Lack of Explanation,Rural Districts Residents,Biased,Low
167,102,No Human Override,All Patients,Ranked,Low
168,103,Recommendation Bias,Low-Income Students,Rejected,Low
169,103,Advanced Track Decision,Minority Communities,Biased,Medium
170,103,STEM Program Placement,First-Generation Learners,Ranked,High
171,103,Academic Track Recommendation,Upper-Income Schools,Approved,Medium
172,103,Vocational vs Honors Track,Government School Students,Balanced,Low
173,103,Audit and Explanation Transparency,All Users,Low,Low
174,101,Gender Bias Detected,Female Applicants,Rejected,Low
175,101,Background Discrimination,Non-English Medium Backgrounds,Biased,Medium
176,101,Regional Favoritism,Rural District Candidates,Ranked,High
177,101,Education Bias,Tier-2 City Graduates,Rejected,Low
178,101,Prioritization Error,Brand-Name College Applicants,Approved,Medium
179,101,Decision Lacking Transparency,All Affected Groups,Reviewed,Low
180,102,Biased Decision,Rural Elderly Patients,Rejected,Low
181,102,Disproportionate Approval,Urban Patients,Approved,High
182,102,Penalizing Minority,Low-Income Patients,Rejected,Medium
183,102,Lack of Transparency,All Patients,Ranked,Low
184,102,Inadequate Oversight,Private Insurance Holders,Approved,High
185,102,Bias in Treatment Plan,Elderly Rural Communities,Biased,Low
186,103,Recommendation Bias,Low-Income Students,Rejected,Low
187,103,Track Placement Disparity,Minority Communities,Rejected,Medium
188,103,Audit Lack Transparency,All Affected,Biased,Low
189,103,Grade-Based Tracking Issue,First-Generation Learners,Ranked,High
190,103,Systemic Recommendation Problem,Wealthy Backgrounds,Approved,Low
191,103,Lack of Explanation Transparency,Parents and Teachers,None,Low
192,101,Biased Decision-Making,Female Applicants,Rejected,Low
193,101,Disparate Impact,Non-English-Medium Backgrounds,Ranked,Medium
194,101,Gender Bias,Women Candidates,Approved,High
195,101,Historical Injustice,Rural District Residents,Ranked,Low
196,101,Implicit Bias,Tier-2 City Dwellers,Biased,Medium
197,101,Lack of Transparency,All Applicants,Reviewed,Low
198,102,Disproportionate Rejection,Elderly Rural Patients,Rejected,Low
199,102,Biased Approval,Urban Privileged Patients,Approved,Medium
200,102,Penalizing Treatment,Low Income Individuals,Rejected,Low
201,102,Systemic Disparagement,Rural Districts Minority Groups,Biased,High
202,102,Lack of Human Override,Attending Physicians,Reviewed,Low
203,102,Undisclosed Risk Index,Mistrust in AI Decisions,Balanced,Low
204,103,Bias in Recommendations,Low-Income Students,Rejected,Low
205,103,Tracking and Routing,Minority Communities,Biased,Medium
206,103,Discriminatory Logic,First-Generation Learners,Ranked,Low
207,103,Lack of Explanation,Parents and Teachers,None Provided,High
208,103,Inequitable Access,Upper-Income Schools,Approved,Low
209,103,Auditing and Oversight,Education Researchers,Reviewed,Medium
210,101,Discriminatory Decision,Female Applicants,Rejected,Low
211,101,Biased Screening,Tier-2 City Candidates,Ranked,Low
212,101,Gender-Based Rejection,Women in Tech,Rejected,Medium
213,101,Undue Preference,IIT College Graduates,Approved,High
214,101,Systemic Injustice,Rural District Residents,Rejected,Low
215,101,Lack of Diversity,Non-English-Medium Backgrounds,Ranked,Low
216,102,Biased Outcome,Elderly Rural Patients,Rejected,Low
217,102,Unfair Treatment,Low-Income Patients,Ranked Over Others,Medium
218,102,No Human Override,Private Insurance Status,Biased Rejected Outcome,Low
219,103,Recommendation Bias,Low-Income Students,Biased,Low
220,103,Program Recommendation,Minority Communities,Rejected,Medium
221,103,Track Placement,Upper-Income Schools,Approved,High
222,103,Grade-Based Tracking,First-Generation Learners,Ranked,Low
